seq_no,ctd_section,title,xml_element,item_type,relative_path,comment
57,,,,file,m1/eu/17-orphan/172-market-exclusivity/marketexclusivity-VAR.EXT,Filename for information on market exclusivity composed by a fixed component “marketexclusivity” and an optional variable component to be used if needed.
58,1.8,Information relating to Pharmacovigilance,m1-8-pharmacovigilance,directory,m1/eu/18-pharmacovigilance,General placeholder for information on pharmacovigilance.
59,1.8.1,Pharmacovigilance System,m1-8-1-pharmacovigilance-system,directory,m1/eu/18-pharmacovigilance/181-phvig-system,General placeholder for information on pharmacovigilance system.
60,,,,file,m1/eu/18-pharmacovigilance/181-phvig-system/phvigsystem-VAR.EXT,Filename for information on pharmacovigilance system composed by a fixed component “phvigsystem” and an optional variable component to be used if needed.
61,1.8.2,Risk-management System,m1-8-2-risk-management-system,directory,m1/eu/18-pharmacovigilance/182-riskmgt-system,General placeholder for information on risk management system.
62,,,,file,m1/eu/18-pharmacovigilance/182-riskmgt-system/riskmgtsystem-VAR.EXT,Filename for information on pharmacovigilance system composed by a fixed component “riskmgtsystem” and an optional variable component to be used if needed.
63,1.9,Information relating to Clinical Trials,m1-9-clinical-trials,directory,m1/eu/19-clinical-trials,General placeholder for information on clinical trials.
64,,,,file,m1/eu/19-clinical-trials/clinicaltrials-VAR.EXT,Filename for information on clinical trials composed by a fixed component “clinicaltrials” and an optional variable component to be used if needed.
65,1.10,Information relating to Paediatrics,m1-10-paediatrics,directory,m1/eu/110-paediatrics,General placeholder for information on paediatrics.
66,,,,file,m1/eu/110-paediatrics/paediatrics-VAR.EXT,Filename for information on paediatrics composed by a fixed component “paediatrics” and an optional variable component to be used if needed.
67,,Responses to Questions,m1-responses,directory,m1/eu/responses,
68,,,,directory,m1/eu/responses/CC,Always use the country directory at this level for all procedures even when only one file is submitted to only one country during the lifecycle of the submission.
69,,,,file,m1/eu/responses/CC/CC-responses-VAR.EXT,"Filename for responses to questions composed by a fixed component “CC”, a fixed component “responses” and an optional variable component to be used if needed (e.g. be-responses.pdf)."
70,,Additional Data,m1-additional-data,directory,m1/eu/additional-data,"The 'Additional Data’ section should only be used for information required for National, MR and Decentralised Procedures; it is therefore not generally applicable for the Centralised Procedure, other than for justifications for active substances. This section is not intended for including already submitted documents. Any information/file which was already submitted in a previous sequence should not be submitted again in eCTD. For already submitted documents, a reference/hyperlink/cross-link to the existing file should be created. This helps to avoid multiple lifecycles and repetitions of the files."
71,,,,directory,m1/eu/additional-data/CC,Always use the country directory at this level for all procedures even when only one file is submitted to only one country during the lifecycle of the submission.
72,,,,file,m1/eu/additional-data/CC/CC-additionaldata-VAR.EXT,"Filename for additional information requested composed by a fixed component “CC”, a fixed component “additionaldata” and an optional variable component to be used if needed (e.g. be-additionaldata-yellowpink.pdf). Supporting data for variations should be not be placed in this section; wherever possible they should be placed in the relevant CTD section, primarily within Module 3 ‘Quality’ and Module 1 (1.3.1) ‘Summary of Product Characteristics, Labelling and Package Leaflet’. Where documents cannot be assigned to specific CTD-defined locations, then they should be attached to the 1.2 Application Form. The same approach should be used for renewals. Additionally see comments in row no 9. The 'Additional Data’ section should only be used for information required for country specific information/documentation for National, MR and Decentralised Procedures; it is not applicable for the Centralised Procedure, other than for justifications for active substances."
73,,,,directory,m1/eu/util,Additional folder to hold utility files used in EU Region only.
74,,,,directory,m1/eu/util/dtd,Additional folder to hold DTD files used in EU Region only.
75,,,,directory,util/dtd,ICH specified location for eCTD DTD files.
76,,,,directory,util/style,"ICH specified location for eCTD style-sheet files. The style-sheet to be used should be the most recent version, which is always published as part of the specification package for download. Note that the XML instance can only point to one style-sheet and that referencing a customised style-sheet will effectively prevent the agency using the official one. It is therefore recommended not to submit customised style-sheets."
