seq_no,ctd_section,title,xml_element,item_type,relative_path,comment
90,3.2.P.4,"Control of Excipients (name, dosage form) – Excipient",m3-2-p-4-control-of-excipients,directory,m3/32-body-data/32p-drug-prod/product-1/32p4-contr-excip/excipient-1,"For a drug product containing more than one excipient, the information requested for sections 3.2.P.4.1 – 3.2.P.4.4 should be provided in its entirety for each excipient. Refer to the ICH eCTD QA and Change Requests document, Q&A No.4 for additional suggestions on structuring this section. For compendial excipient(s) without additional specification tests, it is appropriate to have all information in one file, making sure to introduce a folder for each of new documents to avoid mixing files and folders at the same level. Non-compendial excipients should follow the structure outlined below. The ‘excipient’ attribute value in the backbone should be consistent with that used in the folder name but can be different. There is currently no standard terminology list for these attributes and applicants should choose these attributes carefully as they can not be easily changed during the life cycle of the application. The only way this can be accomplished currently is to delete all the leaf elements with the incorrect attribute value and provide new leaf elements for those files with the modified attribute value. Applicants should consult with the regional authority before attempting to modify these attributes to discuss the appropriateness of, and approach to be taken for, this type of change."
91,3.2.P.4.1,"Specifications (name, dosage form)",m3-2-p-4-1-specifications,file,m3/32-body-data/32p-drug-prod/product-1/32p4-contr-excip/excipient-1/specifications.pdf,See comment under 3.2.P.4.
92,3.2.P.4.2,"Analytical Procedures (name, dosage form)",m3-2-p-4-2-analytical-procedures,file,m3/32-body-data/32p-drug-prod/product-1/32p4-contr-excip/excipient-1/analytical-procedures.pdf,See comment under 3.2.P.4.
93,3.2.P.4.3,"Validation of Analytical Procedures (name, dosage form)",m3-2-p-4-3-validation-of-analytical-procedures,file,m3/32-body-data/32p-drug-prod/product-1/32p4-contr-excip/excipient-1/validation-analyt-procedures.pdf,See comment under 3.2.P.4.
94,3.2.P.4.4,"Justification of Specifications (name, dosage form)",m3-2-p-4-4-justification-of-specifications,file,m3/32-body-data/32p-drug-prod/product-1/32p4-contr-excip/excipient-1/justification-of-specifications.pdf,See comment under 3.2.P.4.
95,3.2.P.4.5,"Excipients of Human or Animal Origin (name, dosage form)",m3-2-p-4-5-excipients-of-human-or-animal-origin,file,m3/32-body-data/32p-drug-prod/product-1/32p4-contr-excip/excipients-human-animal.pdf,
96,3.2.P.4.6,"Novel Excipients (name, dosage form)",m3-2-p-4-6-novel-excipients,file,m3/32-body-data/32p-drug-prod/product-1/32p4-contr-excip/novel-excipients.pdf,
97,3.2.P.5,"Control of Drug Product (name, dosage form)",m3-2-p-5-control-of-drug-product,directory,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod,
98,3.2.P.5.1,"Specification(s) (name, dosage form)",m3-2-p-5-1-specifications,directory,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p51-spec,
99,3.2.P.5.1,"Specification(s) (name, dosage form)",m3-2-p-5-1-specifications,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p51-spec/specifications.pdf,
100,3.2.P.5.2,"Analytical Procedures (name, dosage form)",m3-2-p-5-2-analytical-procedures,directory,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p52-analyt-proc,"The example below shows how a multiple file approach, where a separate file is provided for each analytical procedure, may be organized. CTD numbering is not defined below this level (e.g., 3.2.P.5.2.1)."
101,,Analytical Procedure – 1,m3-2-p-5-2-analytical-procedures,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p52-analyt-proc/analytical-procedure-1.pdf,
102,,Analytical Procedure – 2,m3-2-p-5-2-analytical-procedures,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p52-analyt-proc/analytical-procedure-2.pdf,
103,,Analytical Procedure – 3,m3-2-p-5-2-analytical-procedures,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p52-analyt-proc/analytical-procedure-3.pdf,
104,3.2.P.5.3,"Validation of Analytical Procedures (name, dosage form)",m3-2-p-5-3-validation-of-analytical-procedures,directory,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p53-val-analyt-proc,"The example below shows how a multiple file approach, where a separate file is provided for each analytical procedure, may be organized. CTD numbering is not defined below this level (e.g., 3.2.P.5.3.1)."
105,,Validation of Analytical Procedures – 1,m3-2-p-5-3-validation-of-analytical-procedures,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p53-val-analyt-proc/validation-analytical-procedures-1.pdf,
106,,Validation of Analytical Procedures – 2,m3-2-p-5-3-validation-of-analytical-procedures,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p53-val-analyt-proc/validation-analytical-procedures-2.pdf,
107,,Validation of Analytical Procedures – 3,m3-2-p-5-3-validation-of-analytical-procedures,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p53-val-analyt-proc/validation-analytical-procedures-3.pdf,
108,3.2.P.5.4,"Batch Analyses (name, dosage form)",m3-2-p-5-4-batch-analyses,directory,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p54-batch-analys,
109,3.2.P.5.4,"Batch Analyses (name, dosage form)",m3-2-p-5-4-batch-analyses,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p54-batch-analys/batch-analyses.pdf,
110,3.2.P.5.5,"Characterisation of Impurities (name, dosage form)",m3-2-p-5-5-characterisation-of-impurities,directory,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p55-charac-imp,
111,3.2.P.5.5,"Characterisation of Impurities (name, dosage form)",m3-2-p-5-5-characterisation-of-impurities,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p55-charac-imp/characterisation-impurities.pdf,
112,3.2.P.5.6,"Justification of Specifications (name, dosage form)",m3-2-p-5-6-justification-of-specifications,directory,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p56-justif-spec,
